GEOID10,unit_type,unit_counts,n,proportion
53033000100,apartment,540,899,0.6006674082313682
53033000100,basement,6,899,0.006674082313681869
53033000100,condo,57,899,0.06340378197997776
53033000100,duplex,4,899,0.004449388209121246
53033000100,none,90,899,0.10011123470522804
53033000100,single family home,94,899,0.10456062291434928
53033000100,studio apartment,100,899,0.11123470522803114
53033000100,townhome,7,899,0.00778642936596218
53033000100,NA,1,899,0.0011123470522803114
53033000200,apartment,131,253,0.5177865612648221
53033000200,condo,9,253,0.03557312252964427
53033000200,duplex,2,253,0.007905138339920948
53033000200,none,54,253,0.2134387351778656
53033000200,single family home,43,253,0.16996047430830039
53033000200,studio apartment,7,253,0.02766798418972332
53033000200,townhome,5,253,0.019762845849802372
53033000200,NA,2,253,0.007905138339920948
53033000300,apartment,30,73,0.410958904109589
53033000300,basement,1,73,0.0136986301369863
53033000300,condo,4,73,0.0547945205479452
53033000300,none,19,73,0.2602739726027397
53033000300,single family home,13,73,0.1780821917808219
53033000300,studio apartment,4,73,0.0547945205479452
53033000300,townhome,1,73,0.0136986301369863
53033000300,NA,1,73,0.0136986301369863
53033000401,apartment,281,530,0.530188679245283
53033000401,condo,25,530,0.04716981132075472
53033000401,none,37,530,0.06981132075471698
53033000401,single family home,168,530,0.3169811320754717
53033000401,studio apartment,13,530,0.024528301886792454
53033000401,townhome,5,530,0.009433962264150943
53033000401,triplex,1,530,0.0018867924528301887
53033000402,apartment,36,106,0.33962264150943394
53033000402,basement,4,106,0.03773584905660377
53033000402,condo,1,106,0.009433962264150943
53033000402,none,41,106,0.3867924528301887
53033000402,single family home,17,106,0.16037735849056603
53033000402,studio apartment,6,106,0.05660377358490566
53033000402,triplex,1,106,0.009433962264150943
53033000500,apartment,1,30,0.03333333333333333
53033000500,none,12,30,0.4
53033000500,single family home,14,30,0.4666666666666667
53033000500,studio apartment,3,30,0.1
53033000600,apartment,110,257,0.4280155642023346
53033000600,basement,1,257,0.0038910505836575876
53033000600,condo,5,257,0.019455252918287938
53033000600,duplex,3,257,0.011673151750972763
53033000600,none,82,257,0.31906614785992216
53033000600,single family home,28,257,0.10894941634241245
53033000600,studio apartment,12,257,0.04669260700389105
53033000600,townhome,12,257,0.04669260700389105
53033000600,triplex,4,257,0.01556420233463035
53033000700,apartment,152,354,0.4293785310734463
53033000700,basement,1,354,0.002824858757062147
53033000700,condo,15,354,0.0423728813559322
53033000700,duplex,3,354,0.00847457627118644
53033000700,none,88,354,0.24858757062146894
53033000700,single family home,68,354,0.192090395480226
53033000700,studio apartment,15,354,0.0423728813559322
53033000700,townhome,12,354,0.03389830508474576
53033000800,basement,1,29,0.034482758620689655
53033000800,duplex,3,29,0.10344827586206896
53033000800,none,10,29,0.3448275862068966
53033000800,single family home,13,29,0.4482758620689655
53033000800,studio apartment,2,29,0.06896551724137931
53033000900,apartment,14,31,0.45161290322580644
53033000900,basement,3,31,0.0967741935483871
53033000900,duplex,1,31,0.03225806451612903
53033000900,none,5,31,0.16129032258064516
53033000900,single family home,7,31,0.22580645161290322
53033000900,triplex,1,31,0.03225806451612903
53033001e3,apartment,15,68,0.22058823529411764
53033001e3,basement,1,68,0.014705882352941176
53033001e3,condo,17,68,0.25
53033001e3,duplex,3,68,0.04411764705882353
53033001e3,none,20,68,0.29411764705882354
53033001e3,single family home,4,68,0.058823529411764705
53033001e3,studio apartment,8,68,0.11764705882352941
53033001100,apartment,13,47,0.2765957446808511
53033001100,basement,1,47,0.02127659574468085
53033001100,duplex,2,47,0.0425531914893617
53033001100,none,20,47,0.425531914893617
53033001100,single family home,10,47,0.2127659574468085
53033001100,studio apartment,1,47,0.02127659574468085
53033001200,apartment,418,628,0.6656050955414012
53033001200,basement,2,628,0.0031847133757961785
53033001200,condo,13,628,0.020700636942675158
53033001200,duplex,6,628,0.009554140127388535
53033001200,none,113,628,0.17993630573248406
53033001200,single family home,48,628,0.07643312101910828
53033001200,studio apartment,25,628,0.03980891719745223
53033001200,townhome,3,628,0.004777070063694267
53033001300,apartment,95,241,0.3941908713692946
53033001300,basement,6,241,0.024896265560165973
53033001300,condo,11,241,0.04564315352697095
53033001300,duplex,7,241,0.029045643153526972
53033001300,none,57,241,0.23651452282157676
53033001300,single family home,40,241,0.16597510373443983
53033001300,studio apartment,13,241,0.05394190871369295
53033001300,townhome,10,241,0.04149377593360996
53033001300,triplex,1,241,0.004149377593360996
53033001300,NA,1,241,0.004149377593360996
53033001400,apartment,25,104,0.2403846153846154
53033001400,basement,5,104,0.04807692307692308
53033001400,condo,4,104,0.038461538461538464
53033001400,duplex,4,104,0.038461538461538464
53033001400,none,33,104,0.3173076923076923
53033001400,single family home,20,104,0.19230769230769232
53033001400,studio apartment,5,104,0.04807692307692308
53033001400,townhome,8,104,0.07692307692307693
53033001500,apartment,8,37,0.21621621621621623
53033001500,duplex,3,37,0.08108108108108109
53033001500,none,9,37,0.24324324324324326
53033001500,single family home,15,37,0.40540540540540543
53033001500,townhome,2,37,0.05405405405405406
53033001600,apartment,94,295,0.31864406779661014
53033001600,condo,2,295,0.006779661016949152
53033001600,duplex,2,295,0.006779661016949152
53033001600,none,22,295,0.07457627118644068
53033001600,single family home,162,295,0.5491525423728814
53033001600,studio apartment,8,295,0.02711864406779661
53033001600,townhome,5,295,0.01694915254237288
53033001701,apartment,57,243,0.2345679012345679
53033001701,basement,3,243,0.012345679012345678
53033001701,condo,26,243,0.10699588477366255
53033001701,duplex,3,243,0.012345679012345678
53033001701,none,67,243,0.2757201646090535
53033001701,single family home,54,243,0.2222222222222222
53033001701,studio apartment,33,243,0.13580246913580246
53033001702,apartment,269,426,0.6314553990610329
53033001702,condo,3,426,0.007042253521126761
53033001702,duplex,9,426,0.02112676056338028
53033001702,none,37,426,0.08685446009389672
53033001702,single family home,27,426,0.06338028169014084
53033001702,studio apartment,70,426,0.1643192488262911
53033001702,townhome,8,426,0.018779342723004695
53033001702,triplex,3,426,0.007042253521126761
53033001800,apartment,117,288,0.40625
53033001800,basement,4,288,0.013888888888888888
53033001800,condo,7,288,0.024305555555555556
53033001800,duplex,10,288,0.034722222222222224
53033001800,none,77,288,0.2673611111111111
53033001800,single family home,44,288,0.1527777777777778
53033001800,studio apartment,7,288,0.024305555555555556
53033001800,townhome,20,288,0.06944444444444445
53033001800,triplex,1,288,0.003472222222222222
53033001800,NA,1,288,0.003472222222222222
53033001900,apartment,36,124,0.2903225806451613
53033001900,basement,2,124,0.016129032258064516
53033001900,condo,12,124,0.0967741935483871
53033001900,none,41,124,0.33064516129032256
53033001900,single family home,24,124,0.1935483870967742
53033001900,studio apartment,7,124,0.056451612903225805
53033001900,townhome,2,124,0.016129032258064516
53033002e3,apartment,14,84,0.16666666666666666
53033002e3,basement,1,84,0.011904761904761904
53033002e3,condo,2,84,0.023809523809523808
53033002e3,duplex,4,84,0.047619047619047616
53033002e3,none,30,84,0.35714285714285715
53033002e3,single family home,26,84,0.30952380952380953
53033002e3,studio apartment,6,84,0.07142857142857142
53033002e3,NA,1,84,0.011904761904761904
53033002100,apartment,24,122,0.19672131147540983
53033002100,basement,10,122,0.08196721311475409
53033002100,condo,7,122,0.05737704918032787
53033002100,duplex,8,122,0.06557377049180328
53033002100,none,30,122,0.2459016393442623
53033002100,single family home,18,122,0.14754098360655737
53033002100,studio apartment,21,122,0.1721311475409836
53033002100,townhome,2,122,0.01639344262295082
53033002100,triplex,1,122,0.00819672131147541
53033002100,NA,1,122,0.00819672131147541
53033002200,apartment,21,151,0.1390728476821192
53033002200,basement,2,151,0.013245033112582781
53033002200,condo,2,151,0.013245033112582781
53033002200,duplex,3,151,0.019867549668874173
53033002200,none,100,151,0.6622516556291391
53033002200,single family home,19,151,0.12582781456953643
53033002200,studio apartment,2,151,0.013245033112582781
53033002200,townhome,2,151,0.013245033112582781
53033002400,apartment,2,29,0.06896551724137931
53033002400,basement,2,29,0.06896551724137931
53033002400,duplex,1,29,0.034482758620689655
53033002400,none,7,29,0.2413793103448276
53033002400,single family home,14,29,0.4827586206896552
53033002400,studio apartment,1,29,0.034482758620689655
53033002400,townhome,2,29,0.06896551724137931
53033002500,apartment,7,50,0.14
53033002500,basement,1,50,0.02
53033002500,none,16,50,0.32
53033002500,single family home,19,50,0.38
53033002500,studio apartment,2,50,0.04
53033002500,townhome,3,50,0.06
53033002500,triplex,2,50,0.04
53033002600,apartment,177,405,0.43703703703703706
